zip,lat,lng,state
01944,42.579503,-70.755062,MA
01945,42.56142,-70.770768,MA
01949,42.644942,-71.087905,MA
01950,42.80965,-70.873196,MA
01951,42.777524,-70.867246,MA
01952,42.851234,-70.865667,MA
01960,42.536996,-70.973646,MA
01961,42.635443,-70.879123,MA
01965,42.558113,-70.825743,MA
01966,42.657866,-70.618057,MA
01969,42.716155,-70.892754,MA
01970,42.512946,-70.904237,MA
01971,42.635443,-70.879123,MA
01982,42.626664,-70.851125,MA
01983,42.661793,-70.954487,MA
01984,42.597691,-70.8732,MA
01985,42.79414,-70.971068,MA
02018,41.970474,-70.701357,MA
02019,42.076501,-71.470464,MA
02020,42.081825,-70.643868,MA
02021,42.179146,-71.121185,MA
02025,42.233938,-70.815826,MA
02026,42.244733,-71.181141,MA
02027,42.180048,-71.08923,MA
02030,42.236114,-71.283072,MA
02031,41.998799,-71.200894,MA
02032,42.153786,-71.21455,MA
02035,42.062204,-71.235774,MA
02038,42.08868,-71.404814,MA
02040,41.970474,-70.701357,MA
02041,42.069642,-70.649075,MA
02043,42.212105,-70.884989,MA
02044,41.970474,-70.701357,MA
02045,42.284413,-70.873659,MA
02047,42.142836,-70.69353,MA
02048,42.013182,-71.218373,MA
02050,42.111805,-70.710744,MA
02051,42.151202,-70.734146,MA
02052,42.181265,-71.309934,MA
02053,42.156282,-71.427663,MA
02054,42.165249,-71.36126,MA
02055,41.970474,-70.701357,MA
02056,42.117511,-71.331793,MA
02059,41.970474,-70.701357,MA
02060,41.970474,-70.701357,MA
02061,42.154145,-70.823035,MA
02062,42.182798,-71.196277,MA
02065,42.097219,-70.651567,MA
02066,42.207254,-70.770188,MA
02067,42.105288,-71.184785,MA
02070,42.180048,-71.08923,MA
02071,42.100399,-71.270933,MA
02072,42.118416,-71.105733,MA
02081,42.148624,-71.255533,MA
02090,42.220548,-71.199238,MA
02093,42.054311,-71.371169,MA
02101,42.370567,-71.026964,MA
02102,42.338947,-70.919635,MA
02103,42.338947,-70.919635,MA
02104,42.338947,-70.919635,MA
02105,42.338947,-70.919635,MA
02106,42.354318,-71.073449,MA
02107,42.338947,-70.919635,MA
02108,42.353806,-71.102446,MA
02109,42.360027,-71.054495,MA
02110,42.352847,-71.051466,MA
02111,42.351047,-71.059365,MA
02112,42.338947,-70.919635,MA
02113,42.365398,-71.055001,MA
02114,42.362097,-71.023661,MA
02115,42.342043,-71.096848,MA
02116,42.347207,-71.086095,MA
02117,42.338947,-70.919635,MA
02118,42.336162,-71.072854,MA
02119,42.323077,-71.084608,MA
02120,42.332484,-71.096416,MA
02121,42.307098,-71.081645,MA
02122,42.29658,-71.055215,MA
02123,42.338947,-70.919635,MA
02124,42.286784,-71.071045,MA
02125,42.31476,-71.067244,MA
02126,42.301247,-71.105195,MA
02127,42.329023,-71.020343,MA
02128,42.364197,-71.025694,MA
02129,42.382588,-71.065287,MA
02130,42.309661,-71.121097,MA
02131,42.284197,-71.120896,MA
02132,42.277897,-71.155833,MA
02133,42.338947,-70.919635,MA
02134,42.357169,-71.112646,MA
02135,42.349768,-71.104888,MA
02136,42.254248,-71.129321,MA
02137,42.338947,-70.919635,MA
02138,42.380442,-71.132947,MA
02139,42.365146,-71.101842,MA
02140,42.393246,-71.133833,MA
02141,42.368673,-71.083596,MA
02142,42.36284,-71.084814,MA
02143,42.38092,-71.098896,MA
02144,42.402696,-71.12022,MA
